uav_id,x,y,z,bs_id,subcarrier,csi_real,csi_imag
0,0.0,0.0,100,1,55,-0.009629067682527703,-0.010377915244411074
0,0.0,0.0,100,1,56,-0.007320609480270328,-0.02390827208134291
0,0.0,0.0,100,1,57,-0.01315608946700688,0.005365567200101012
0,0.0,0.0,100,1,58,0.02684458224333288,0.01506933767111783
0,0.0,0.0,100,1,59,0.001021754541850773,-0.006736143556595645
0,0.0,0.0,100,1,60,0.01407207302268305,-0.006515954612262386
0,0.0,0.0,100,1,61,0.01500519518258494,-0.0020107790627808594
0,0.0,0.0,100,1,62,-0.0024764585523626807,0.0028904778383254297
0,0.0,0.0,100,1,63,-0.015630322347225993,0.0018014146126242461
1,0.0,3.0,100,0,0,-0.0029493216094902503,0.0030931537354173533
1,0.0,3.0,100,0,1,-0.01230542943020473,-0.01013847897863344
1,0.0,3.0,100,0,2,-0.016594324995874637,-0.001853795051684308
1,0.0,3.0,100,0,3,-0.010792970990115761,0.008972564665014756
1,0.0,3.0,100,0,4,0.0008388042458772403,-0.011601815834620444
1,0.0,3.0,100,0,5,-0.004892111568381743,-0.0006286275722632705
1,0.0,3.0,100,0,6,0.001420911764553051,0.0035123303012764
1,0.0,3.0,100,0,7,-0.006244326881368404,-0.010143984378027226
1,0.0,3.0,100,0,8,0.017950246857161234,0.00850427215615131
1,0.0,3.0,100,0,9,-0.018876458253685394,-0.008054274671790436
1,0.0,3.0,100,0,10,-0.0028646801642225918,-0.004162926800290129
1,0.0,3.0,100,0,11,-0.008429491343991954,-0.0061240806518676055
1,0.0,3.0,100,0,12,0.004258081629645865,0.010835544065878765
1,0.0,3.0,100,0,13,-0.0060927710785188705,0.0058263157218290665
1,0.0,3.0,100,0,14,0.0022239934894417147,-0.007470337268397686
1,0.0,3.0,100,0,15,-0.0047134674465396575,0.010099850014645242
1,0.0,3.0,100,0,16,-0.006636672030869562,-0.011611640873726282
1,0.0,3.0,100,0,17,0.006697708644682734,-0.00357947976094045
1,0.0,3.0,100,0,18,0.009895182367086296,-0.00266586734926645
1,0.0,3.0,100,0,19,-0.0176372304416212,0.003641805676204474
1,0.0,3.0,100,0,20,-0.014854524131521978,0.010746379373199895
1,0.0,3.0,100,0,21,-0.010609948881293232,-0.004345198048490185
1,0.0,3.0,100,0,22,0.010895140109154247,-0.011366421190984225
1,0.0,3.0,100,0,23,0.003912597065338373,-0.0033284423378996545
1,0.0,3.0,100,0,24,0.007879175594020701,0.009691504034429487
1,0.0,3.0,100,0,25,0.002608360524638363,0.0012817111724100086
1,0.0,3.0,100,0,26,-0.014601813186896283,-0.009961987200465133
1,0.0,3.0,100,0,27,-0.006055311876993236,-0.011785986332122361
1,0.0,3.0,100,0,28,0.01133542394036679,-0.010131080049005321
1,0.0,3.0,100,0,29,0.0016890679207128645,-0.00023374342865890575
1,0.0,3.0,100,0,30,0.03142209868660431,-0.018976885359896292
1,0.0,3.0,100,0,31,-0.010684418122688425,-0.011235097709562054
1,0.0,3.0,100,0,32,0.000490478841351033,-0.007812741002544001
1,0.0,3.0,100,0,33,-0.007039133943806011,-0.002467667374134948
1,0.0,3.0,100,0,34,0.025704425735352636,0.0035069469038705786
1,0.0,3.0,100,0,35,0.002945937361225299,-0.0043355858438496875
1,0.0,3.0,100,0,36,-0.00241705462620968,0.003838411378066834
1,0.0,3.0,100,0,37,-0.0006438931997192029,0.008946985153197983
1,0.0,3.0,100,0,38,-0.0015886198546494075,-0.001267361011409558
1,0.0,3.0,100,0,39,0.002941036878040274,0.02113579130693042
1,0.0,3.0,100,0,40,-0.0027155017004668,0.005401959266171394
1,0.0,3.0,100,0,41,-0.0059466229163909175,0.021014462464435637
1,0.0,3.0,100,0,42,0.007079519751813298,-0.018077540397089167
1,0.0,3.0,100,0,43,-0.006708985701973446,0.0025446872041078607
1,0.0,3.0,100,0,44,-0.001839810522319103,-0.0032509200870199724
1,0.0,3.0,100,0,45,-0.002806269231118687,0.007720650605679618
1,0.0,3.0,100,0,46,0.010320487669808458,0.012761365524913968
1,0.0,3.0,100,0,47,0.02584900576921004,-0.008613623730070283
1,0.0,3.0,100,0,48,0.012644804067415728,-0.0065182903244507635
1,0.0,3.0,100,0,49,0.008661371486950686,0.007269975987257978
1,0.0,3.0,100,0,50,0.012926400626086035,-0.0076576544643958515
1,0.0,3.0,100,0,51,0.014068947079934196,-0.0005682411978307532
1,0.0,3.0,100,0,52,0.016466009575358376,-0.01568631919163503
1,0.0,3.0,100,0,53,-0.011764622231145822,-0.008842732259113866
1,0.0,3.0,100,0,54,-0.006874893935368768,0.0025795903944508883
1,0.0,3.0,100,0,55,0.00017391770216808366,-0.014259440749687432
1,0.0,3.0,100,0,56,0.01547200500375235,0.0017376909570906225
1,0.0,3.0,100,0,57,-0.0002799699448446216,0.014399852678395907
1,0.0,3.0,100,0,58,-0.006525310243098188,-0.011439011194602893
1,0.0,3.0,100,0,59,-0.0228656463074903,0.0004826852745574259
1,0.0,3.0,100,0,60,0.0032702303753011867,-0.001010775698088484
1,0.0,3.0,100,0,61,0.0019193114294278517,-0.012633333898604803
1,0.0,3.0,100,0,62,-0.0011175575328516863,0.01518212372155189
1,0.0,3.0,100,0,63,-0.0005442822020933818,0.006231079331461869
1,0.0,3.0,100,1,0,0.010527290842534615,-0.016741483525232862
1,0.0,3.0,100,1,1,-0.003549612125637025,-0.023383787406045062
1,0.0,3.0,100,1,2,-0.014380833303280868,0.006466779875857137
1,0.0,3.0,100,1,3,0.006992355507780893,0.018619679553520358
1,0.0,3.0,100,1,4,0.001535875217947618,-0.0016095710781066368
1,0.0,3.0,100,1,5,-0.007944187606787152,-0.000920378359985101
1,0.0,3.0,100,1,6,0.01161636029474052,0.01224097792974402
1,0.0,3.0,100,1,7,-0.01402320794404504,-0.0011603646943461215
1,0.0,3.0,100,1,8,-0.010362742477464338,0.004176157930384995
1,0.0,3.0,100,1,9,-0.014238280184084696,-0.013250524562680189
1,0.0,3.0,100,1,10,-0.0014743616417106573,0.012549779668074364
1,0.0,3.0,100,1,11,0.0012024699839399801,-0.011415621598878122
1,0.0,3.0,100,1,12,0.004350213167458312,-0.008054819368222187
1,0.0,3.0,100,1,13,-0.011542496213662374,-0.004122057245642582
1,0.0,3.0,100,1,14,-0.013963655709938995,-0.005648339452464069
1,0.0,3.0,100,1,15,0.006129012236034169,0.009756863597542444
1,0.0,3.0,100,1,16,0.003816538745776638,0.003398784890748
1,0.0,3.0,100,1,17,-0.015431791159141511,-0.0006268013711908845
1,0.0,3.0,100,1,18,-0.0031199389103002723,0.002448309869427872
1,0.0,3.0,100,1,19,-0.0026532273627980834,0.0006335938054754176
1,0.0,3.0,100,1,20,0.009010690045657934,0.010900913972877404
1,0.0,3.0,100,1,21,0.008423661113180497,-0.0024615014886697046
1,0.0,3.0,100,1,22,0.01109100517434772,0.014226857313419678
1,0.0,3.0,100,1,23,-0.00904266434089056,-0.0016294281607943432
1,0.0,3.0,100,1,24,0.007200408100096148,-0.0070624410109211815
1,0.0,3.0,100,1,25,-0.006440913153185854,-0.017199305702483875
1,0.0,3.0,100,1,26,0.004238456059749134,-0.004419642121251538
1,0.0,3.0,100,1,27,0.004934037616219035,0.003714144560532836
1,0.0,3.0,100,1,28,0.019916337737825848,-0.012064533581210015
1,0.0,3.0,100,1,29,-0.0014907162379787747,0.014343230480241626
1,0.0,3.0,100,1,30,0.0025271377544520746,0.012694552451315904
1,0.0,3.0,100,1,31,3.263983391528393e-05,-0.004674679464027575
1,0.0,3.0,100,1,32,0.0030747986991411075,-0.01676975735965297
1,0.0,3.0,100,1,33,0.007463767961508157,0.00625657482680232
1,0.0,3.0,100,1,34,-0.0007322230583750935,0.017094141077940987
1,0.0,3.0,100,1,35,-0.001195755278864726,0.015740241089984428
1,0.0,3.0,100,1,36,-9.307839339096486e-05,-0.0038405502627100524
1,0.0,3.0,100,1,37,-0.0032077263999455365,0.011003362087895072
1,0.0,3.0,100,1,38,-0.01573637230081411,-0.0032942877491713425
1,0.0,3.0,100,1,39,0.0035360156343220784,0.008715770373385156
1,0.0,3.0,100,1,40,-0.011425449000956463,0.027362315415502884
1,0.0,3.0,100,1,41,-0.003203595984587021,0.006812566942550955
1,0.0,3.0,100,1,42,-0.0006902302364309046,0.016087123450592336
1,0.0,3.0,100,1,43,0.00030582831949986007,-0.013722502982302176
1,0.0,3.0,100,1,44,0.0029126434683256525,0.00799254795888844
1,0.0,3.0,100,1,45,0.016108289809397238,-0.006775878471550586
1,0.0,3.0,100,1,46,-0.002958754125678647,-0.013984247980970772
1,0.0,3.0,100,1,47,0.010673976770391122,-0.007261705880002419
1,0.0,3.0,100,1,48,-0.0036892970142460304,0.012431490885453214
1,0.0,3.0,100,1,49,-0.0033407255294019165,-0.012677891437714466
1,0.0,3.0,100,1,50,-0.004488549058475766,-0.006587644885928862
1,0.0,3.0,100,1,51,-0.0027077882027328123,-0.005703807609518174
1,0.0,3.0,100,1,52,-0.01089429672952511,0.017131321093822906
1,0.0,3.0,100,1,53,-0.002237160727595962,0.010837251369680376
1,0.0,3.0,100,1,54,0.0033618489344624364,-0.02819729226045428
1,0.0,3.0,100,1,55,0.0009563620867268726,0.004001494244992613
1,0.0,3.0,100,1,56,-0.010390706176024318,-0.011420254441409457
1,0.0,3.0,100,1,57,0.010514144183921832,0.011804984717199679
1,0.0,3.0,100,1,58,-0.0121104139437851,-0.004330945478130433
1,0.0,3.0,100,1,59,-0.0027909408600653033,0.002386562482082737
1,0.0,3.0,100,1,60,-0.009572018779564028,0.002156270798665427
1,0.0,3.0,100,1,61,-0.0058902184634747135,-0.0021153417342428494
1,0.0,3.0,100,1,62,-0.0035110695244323174,-0.016985659850486248
1,0.0,3.0,100,1,63,0.009901883555327574,0.013050482820356984
2,0.0,6.0,100,0,0,0.0021765465636982553,0.00284427972861949
2,0.0,6.0,100,0,1,0.00737673087992821,-0.005341112963471445
2,0.0,6.0,100,0,2,-0.023980093798550355,-0.010716791962941048
2,0.0,6.0,100,0,3,-0.003796248710322329,-0.012335708789743194
2,0.0,6.0,100,0,4,-0.0001590168360424735,-0.01305940851955108
2,0.0,6.0,100,0,5,-0.005275751058829119,-0.006095708070460247
2,0.0,6.0,100,0,6,0.030532617203209367,0.0018160450134631883
2,0.0,6.0,100,0,7,-0.004918605975559367,0.009271246597127566
2,0.0,6.0,100,0,8,-0.00013002137863046235,-0.009686714973408799
2,0.0,6.0,100,0,9,-0.015678967967689257,0.014032663441885475
2,0.0,6.0,100,0,10,0.0065172443799803815,0.00397836225292855
2,0.0,6.0,100,0,11,0.0022307241615277533,-0.008948719201383378
2,0.0,6.0,100,0,12,0.006527401815187777,0.0064515795977377255
2,0.0,6.0,100,0,13,-0.007096825611950537,-0.0020325295847368314
2,0.0,6.0,100,0,14,0.005338153725559947,-0.016666671000335573
2,0.0,6.0,100,0,15,0.021255188051843385,-0.01666057644395837
2,0.0,6.0,100,0,16,0.0064067545980366885,0.0160329882653956
2,0.0,6.0,100,0,17,-0.02133958744064801,-0.002636586087953296
2,0.0,6.0,100,0,18,-0.011744900013534572,0.0017708439698850076
2,0.0,6.0,100,0,19,-0.01078892783471417,-0.00641287626922621
2,0.0,6.0,100,0,20,0.008794025986921148,0.002041811575461709
2,0.0,6.0,100,0,21,-0.010523766028440592,0.0011742318405976251
2,0.0,6.0,100,0,22,-0.0024627748012498534,-0.005408699300702236
2,0.0,6.0,100,0,23,-0.006754098554345218,0.006231580815203767
2,0.0,6.0,100,0,24,-0.00753736162647131,0.022226094704124934
2,0.0,6.0,100,0,25,0.0077914727553576235,-0.004508707751111274
2,0.0,6.0,100,0,26,-0.0005458306212454039,0.0024066173463086534
2,0.0,6.0,100,0,27,0.002484051709885638,-0.0003793666715124602
2,0.0,6.0,100,0,28,0.019799348583720323,-0.006271628871523278
2,0.0,6.0,100,0,29,-0.004277520836337325,0.012349401338975866
2,0.0,6.0,100,0,30,-0.00691619268502893,-0.003923046672688714
2,0.0,6.0,100,0,31,0.02342252134986987,-0.0012242774726397736
2,0.0,6.0,100,0,32,0.004990359554816136,-0.0008631622547880167
2,0.0,6.0,100,0,33,0.009685286752726271,0.004743914856363226
2,0.0,6.0,100,0,34,0.010255994695493579,0.002988549692214971
2,0.0,6.0,100,0,35,0.005361711570050449,0.005182416390558037
2,0.0,6.0,100,0,36,-0.010429231103233962,-0.004575611145066343
2,0.0,6.0,100,0,37,-0.01964633039345587,-0.00813777582866022
2,0.0,6.0,100,0,38,0.005455090571147202,0.011693950765313765
2,0.0,6.0,100,0,39,0.014147511662892718,-0.01235104304972695
2,0.0,6.0,100,0,40,0.007380009730956429,-0.00021759172533064187
2,0.0,6.0,100,0,41,-0.006100801081029873,-0.004419663622662191
2,0.0,6.0,100,0,42,0.009416109518187582,-0.0031579838946374666
